门店ID,到店销售,订单数,毛利,O2O履约贡献,月均到店销售,月均O2O,客单价,月平均租金,门店名称,区域,城市,商圈类型,营业面积,店型,是否同店口径,到店坪效,租售比,分级,调整建议,关键依据,数据状态
S001,1936424.82,16195,742786.25,334049.07999999996,322737.47000000003,55674.84666666666,119.56930040135845,18292.828333333335,门店01,华东,杭州,核心商圈,188,标准店,是,1716.688670212766,0.056680212351337245,C,调改:评估降租或优化品类结构,"到店坪效 1717 元/㎡ ∈ [1000,2000)(C级)",已确认
S002,1959104.68,17029,649113.14,255359.24000000002,326517.44666666666,42559.87333333334,115.04519819132068,39003.365,门店02,华东,上海,郊区,370,标准店,是,882.4795855855856,0.11945262159243068,D,闭店/转前置仓评估,到店坪效 882 元/㎡ < 1000(D级触发),已确认
S003,4600875.61,33221,1611070.66,240739.64,766812.6016666667,40123.27333333334,138.49298967520545,44196.119999999995,门店03,华东,宁波,交通枢纽,447,前置仓,是,1715.4644332587623,0.05763614200384782,C,调改:评估降租或优化品类结构,"到店坪效 1715 元/㎡ ∈ [1000,2000)(C级)",已确认
S004,2076813.95,17541,719487.94,304340.04000000004,346135.6583333333,50723.340000000004,118.39769397411777,44771.073333333334,门店04,华东,苏州,郊区,241,标准店,是,1436.2475449515905,0.12934545244170764,C,调改:评估降租或优化品类结构,"到店坪效 1436 元/㎡ ∈ [1000,2000)(C级)",已确认
S005,7991007.68,54857,2814033.88,212564.59,1331834.6133333333,35427.431666666664,145.66979018174527,22952.91,门店05,华东,苏州,交通枢纽,188,社区店,是,7084.2266666666665,0.017234054266357556,A,"保留,加大投入,作为标杆",指标正常,已确认
S006,2257685.0,13288,730190.76,291290.58,376280.8333333333,48548.43,169.90404876580374,44544.22833333333,门店06,华东,南京,郊区,415,社区店,否,906.7008032128514,0.11838027448470446,D,"排除(面积已调整,不计入同店)",到店坪效 907 元/㎡ < 1000(D级触发),已确认
S007,3079495.59,23980,1062128.04,226183.88,513249.26499999996,37697.31333333333,128.41933236030025,30234.463333333333,门店07,华东,杭州,社区商圈,335,前置仓,是,1532.087358208955,0.058907952519587796,C,调改:评估降租或优化品类结构,"到店坪效 1532 元/㎡ ∈ [1000,2000)(C级)",已确认
S008,1977662.81,12724,656096.78,267758.26,329610.4683333333,44626.37666666667,155.4277593524049,37779.6,门店08,华东,杭州,核心商圈,282,社区店,是,1168.8314479905437,0.11461893243570677,C,调改:评估降租或优化品类结构,"到店坪效 1169 元/㎡ ∈ [1000,2000)(C级)",已确认
S009,6652413.75,58034,2495952.53,248834.04,1108735.625,41472.340000000004,114.62959213564463,72687.31666666667,门店09,华东,无锡,核心商圈,409,旗舰店,是,2710.8450488997555,0.06555874550045838,B,"保留,观察改善",指标正常,已确认
S010,2580387.42,21470,946731.22,273496.47,430064.57,45582.744999999995,120.18572054028877,51619.555,门店10,华东,上海,社区商圈,314,前置仓,是,1369.6323885350319,0.12002745308687018,C,调改:评估降租或优化品类结构,"到店坪效 1370 元/㎡ ∈ [1000,2000)(C级)",已确认
S011,2785208.04,20175,990537.0,214953.91,464201.34,35825.651666666665,138.05244312267658,25209.428333333333,门店11,华东,上海,交通枢纽,153,社区店,是,3033.99568627451,0.05430709944381749,B,"保留,观察改善",指标正常,已确认
S012,1098701.3499999999,7842,371707.3,272433.63,183116.89166666663,45405.605,140.1047373119102,31798.028333333332,门店12,华东,杭州,核心商圈,215,社区店,是,851.7064728682169,0.17364879910268613,D,闭店/转前置仓评估,到店坪效 852 元/㎡ < 1000(D级触发),已确认
S013,4093174.73,30338,1343798.81,255157.78999999998,682195.7883333333,42526.29833333333,134.9190694838157,28105.271666666667,门店13,华东,苏州,社区商圈,151,旗舰店,否,4517.852902869758,0.04119824857806644,B,"排除(面积已调整,不计入同店)",指标正常,已确认
S014,1991065.25,15859,720621.6799999999,195264.75,331844.2083333333,32544.125,125.54796960716313,30591.87833333333,门店14,华东,苏州,核心商圈,206,前置仓,是,1610.894215210356,0.09218747100327325,C,调改:评估降租或优化品类结构,"到店坪效 1611 元/㎡ ∈ [1000,2000)(C级)",已确认
S015,10732111.11,92144,3766448.45,200211.24,1788685.1849999998,33368.54,116.47107907188747,47640.426666666666,门店15,华东,上海,办公区,461,旗舰店,是,3880.011247288503,0.02663432730710892,B,"保留,观察改善",指标正常,已确认
S016,4918275.62,39249,1548136.82,236232.86,819712.6033333334,39372.14333333333,125.30957782363882,57747.825000000004,门店16,华东,苏州,交通枢纽,367,前置仓,是,2233.549327883742,0.07044886801199644,B,"保留,观察改善",指标正常,已确认
S017,3447546.6900000004,22910,1297651.1,291026.11,574591.1150000001,48504.35166666666,150.4821776516805,37187.735,门店17,华东,无锡,办公区,355,前置仓,是,1618.5665211267608,0.06472034465760926,C,调改:评估降租或优化品类结构,"到店坪效 1619 元/㎡ ∈ [1000,2000)(C级)",已确认
S018,862724.66,6037,271569.04,202117.65000000002,143787.44333333333,33686.275,142.90618850422396,26859.265,门店18,华东,苏州,交通枢纽,214,标准店,是,671.9039408099688,0.18679840448747576,D,闭店/转前置仓评估,到店坪效 672 元/㎡ < 1000(D级触发),已确认
S019,5530431.33,43880,2070423.94,249221.87,921738.555,41536.97833333333,126.03535391978123,55507.57833333333,门店19,华南,福州,社区商圈,462,社区店,是,1995.1050974025975,0.06022052352289129,C,调改:评估降租或优化品类结构,"到店坪效 1995 元/㎡ ∈ [1000,2000)(C级)",已确认
S020,4946691.11,40948,1891415.46,293422.75,824448.5183333334,48903.791666666664,120.80421778841458,58834.48500000001,门店20,华南,南宁,交通枢纽,379,社区店,是,2175.3259058927,0.07136223025658055,B,"保留,观察改善",指标正常,已确认
S021,776848.6599999999,6042,260102.88,279506.84,129474.77666666666,46584.473333333335,128.57475339291625,39303.426666666666,门店21,华南,厦门,交通枢纽,299,标准店,是,433.0260089186176,0.3035604901474632,D,闭店/转前置仓评估,"到店坪效 433 元/㎡ < 1000(D级触发); 租售比 30.4% ∈ (25%,35%](C级)",已确认
S022,3070453.45,27029,1093924.33,259096.75,511742.2416666667,43182.791666666664,113.59848496059789,66920.325,门店22,华南,广州,社区商圈,378,旗舰店,是,1353.8154541446208,0.13076959365724955,C,调改:评估降租或优化品类结构,"到店坪效 1354 元/㎡ ∈ [1000,2000)(C级)",已确认
S023,4239210.28,36614,1181716.02,280612.63,706535.0466666667,46768.77166666667,115.78112962254876,30812.453333333335,门店23,华南,深圳,交通枢纽,284,标准店,是,2487.799460093897,0.04361065099134454,B,"保留,观察改善",指标正常,已确认
S024,3771378.58,25882,1313227.89,251097.58000000002,628563.0966666667,41849.59666666667,145.71434124101694,52108.59333333333,门店24,华南,福州,核心商圈,265,社区店,是,2371.936213836478,0.08290113372813396,B,"保留,观察改善",指标正常,已确认
S025,2118351.51,14839,725073.6,285889.79,353058.58499999996,47648.29833333333,142.75567828020755,37181.76666666667,门店25,华南,厦门,郊区,192,社区店,是,1838.8467968749999,0.10531330562792199,C,调改:评估降租或优化品类结构,"到店坪效 1839 元/㎡ ∈ [1000,2000)(C级)",已确认
S026,3096562.48,18110,1012202.23,249309.02000000002,516093.74666666664,41551.503333333334,170.98633241303148,14534.67,门店26,华南,厦门,社区商圈,150,标准店,是,3440.6249777777775,0.028162848501606854,B,"保留,观察改善",指标正常,已确认
S027,3733231.88,32272,1407195.74,226849.79,622205.3133333334,37808.29833333333,115.68021442736737,67188.33333333333,门店27,华南,深圳,郊区,340,标准店,是,1830.0156274509804,0.10798418447021296,C,调改:评估降租或优化品类结构,"到店坪效 1830 元/㎡ ∈ [1000,2000)(C级)",已确认
S028,3808172.92,32547,1373037.02,210560.39,634695.4866666667,35093.39833333334,117.00534365686545,26999.84,门店28,华南,深圳,社区商圈,332,标准店,是,1911.7333935742972,0.042539832986365544,C,调改:评估降租或优化品类结构,"到店坪效 1912 元/㎡ ∈ [1000,2000)(C级)",已确认
S029,3140430.12,25474,1084535.51,266680.42,523405.02,44446.736666666664,123.27981942372615,23512.578333333335,门店29,华南,厦门,社区商圈,126,社区店,是,4154.008095238095,0.04492234012836433,B,"保留,观察改善",指标正常,已确认
S030,8373993.649999999,66539,2898741.0,208402.72999999998,1395665.6083333332,34733.78833333333,125.85090924119689,40881.25833333333,门店30,华南,广州,办公区,466,标准店,是,2994.990575822603,0.029291585383516505,B,"保留,观察改善",指标正常,已确认
S031,6659081.390000001,57211,2071147.23,281939.56,1109846.8983333334,46989.926666666666,116.39512314065477,15313.57,门店31,华北,北京,办公区,104,标准店,否,10671.604791666668,0.013797912147158782,A,"排除(面积已调整,不计入同店)",指标正常,已确认
S032,3030382.12,23106,1051226.48,299112.34,505063.6866666667,49852.05666666667,131.15130788539773,13778.263333333334,门店32,华北,青岛,交通枢纽,136,旗舰店,是,3713.703578431373,0.027280249396402854,B,"保留,观察改善",指标正常,已确认
S033,1941990.46,16110,706320.67,272934.5,323665.07666666666,45489.083333333336,120.54565238981999,27929.61333333333,门店33,华北,北京,郊区,158,标准店,是,2048.5131434599157,0.08629171123734562,B,"保留,观察改善",指标正常,已确认
S034,2443763.01,18336,853013.84,300279.4,407293.83499999996,50046.56666666667,133.27677846858637,51388.64166666666,门店34,华北,济南,社区商圈,401,社区店,是,1015.695349127182,0.126170929316096,C,调改:评估降租或优化品类结构,"到店坪效 1016 元/㎡ ∈ [1000,2000)(C级)",已确认
S035,3790324.56,27020,1275184.77,197075.78,631720.76,32845.96333333333,140.27848112509253,21222.278333333332,门店35,华北,济南,交通枢纽,161,旗舰店,是,3923.7314285714288,0.033594397520406535,B,"保留,观察改善",指标正常,已确认
S036,791088.09,6396,266456.63,189074.69,131848.01499999998,31512.448333333334,123.68481707317072,50429.13166666666,门店36,华北,石家庄,核心商圈,485,前置仓,是,271.8515773195876,0.3824792634660952,D,闭店/转前置仓评估,到店坪效 272 元/㎡ < 1000(D级触发); 租售比 38.2% > 35%(D级触发),已确认
S037,3390230.8000000003,32541,1191801.85,233624.15,565038.4666666667,38937.35833333333,104.18336252727329,80861.53333333334,门店37,华北,济南,社区商圈,428,社区店,是,1320.1833333333334,0.143108014946947,C,调改:评估降租或优化品类结构,"到店坪效 1320 元/㎡ ∈ [1000,2000)(C级)",已确认
S038,4124565.75,29309,1520157.37,269851.29,687427.625,44975.215,140.72693541233068,32994.831666666665,门店38,华北,北京,核心商圈,296,社区店,是,2322.390625,0.04799753525568116,B,"保留,观察改善",指标正常,已确认
S039,5878138.39,39486,1931973.42,328411.69,979689.7316666666,54735.28166666667,148.86639289874893,37892.47,门店39,华北,青岛,交通枢纽,385,前置仓,是,2544.6486536796533,0.038678031192116935,B,"保留,观察改善",指标正常,已确认
S040,1302625.37,9011,476027.57,262529.39,217104.22833333336,43754.89833333334,144.55946842747753,16619.985,门店40,华北,石家庄,办公区,112,社区店,是,1938.430610119048,0.07655302306909621,C,调改:评估降租或优化品类结构,"到店坪效 1938 元/㎡ ∈ [1000,2000)(C级)",已确认
S041,3935098.13,27377,1293520.42,286654.94,655849.6883333334,47775.823333333334,143.73737553420753,36125.60666666667,门店41,华北,北京,交通枢纽,277,前置仓,是,2367.6884055354994,0.05508214352967101,B,"保留,观察改善",指标正常,已确认
